vsm		roo	10	PE	0.034482758620689655	0.03333333333333333	0.03333333333333333	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.03225806451612903	
bm		roo	10	PE	0.03125	0.030303030303030304	0.030303030303030304	0.02857142857142857	0.02857142857142857	0.02857142857142857	0.02857142857142857	
lsa		roo	10	PE	0.05263157894736842	0.05263157894736842	0.05263157894736842	0.047619047619047616	0.047619047619047616	0.047619047619047616	0.047619047619047616	
jsm		roo	10	PE	0.037037037037037035	0.037037037037037035	0.037037037037037035	0.037037037037037035	0.037037037037037035	0.037037037037037035	0.037037037037037035	
vsm		roo	104	ST	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
bm		roo	104	ST	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
lsa		roo	104	ST	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.3333333333333333	
jsm		roo	104	ST	0.1111111111111111	0.125	0.125	0.125	0.125	0.16666666666666666	0.3333333333333333	
vsm		roo	106	PE	0.28369084251437193	0.33001331734353806	0.3230844969566774	0.4217520341469921	0.37395124716553285	0.29787979146777926	0.3007970865113722	
bm		roo	106	PE	0.4907268170426065	0.5949023199023199	0.5512710347296813	0.5758067329495901	0.5947409733124018	0.6329931972789116	0.6202947845804988	
lsa		roo	106	PE	0.19143440102086715	0.23364226850160352	0.20965567386374842	0.33761045717567456	0.33119698284171967	0.357999919335323	0.308625730994152	
jsm		roo	106	PE	0.20212837733846137	0.23341490442330776	0.1997008791765825	0.25761183261183257	0.23391106442577028	0.2472486160456085	0.26210994519265196	
vsm		roo	116	PE	0.18807183807183808	0.21135258358662612	0.23591036414565827	0.23403713686732558	0.24711081986311342	0.25995495495495496	0.25995495495495496	
bm		roo	116	PE	0.18930871865654475	0.17730075187969924	0.18161541180629195	0.15257115749525615	0.1398684336886584	0.18602346163321773	0.15983298544274155	
lsa		roo	116	PE	0.23954134855675538	0.22539337474120083	0.48426282051282055	0.5121052631578947	0.513157894736842	0.5782647584973166	0.5788045695634435	
jsm		roo	116	PE	0.46216450216450217	0.29244607420189817	0.28672715894868583	0.280074795138316	0.2794496691048415	0.25267912772585666	0.25267912772585666	
vsm		roo	122	PE	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.058823529411764705	0.05263157894736842	0.047619047619047616	
bm		roo	122	PE	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	0.14285714285714285	
lsa		roo	122	PE	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.019230769230769232	0.0196078431372549	0.01818181818181818	
jsm		roo	122	PE	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.03225806451612903	0.03125	0.030303030303030304	
vsm		roo	123	PE	0.5	0.5	0.5	0.5	0.5	1.0	1.0	
bm		roo	123	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
lsa		roo	123	PE	0.07692307692307693	0.09090909090909091	0.09090909090909091	0.1	0.14285714285714285	0.2	0.2	
jsm		roo	123	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
vsm		roo	124	PE	0.2111111111111111	0.2	0.2111111111111111	0.24285714285714285	0.18333333333333335	0.19444444444444442	0.19444444444444442	
bm		roo	124	PE	0.5909090909090909	0.3333333333333333	0.5833333333333334	0.5833333333333334	0.5833333333333334	0.6	0.6	
lsa		roo	124	PE	0.03127772848269743	0.017002688172043014	0.017331635540464064	0.017794941693169773	0.01856518817204301	0.020799512987012988	0.020970394736842105	
jsm		roo	124	PE	0.05798319327731093	0.027809742999616416	0.03538550057537399	0.04160688665710187	0.03851091142490372	0.04849137931034483	0.04849137931034483	
vsm		roo	134	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
bm		roo	134	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
lsa		roo	134	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
jsm		roo	134	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
vsm		roo	136	PE	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
bm		roo	136	PE	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
lsa		roo	136	PE	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
jsm		roo	136	PE	0.5	0.5	0.5	0.5	0.5	0.5	0.5	
vsm		roo	141	NL	0.45213685239491685	0.5084928080050031	0.4873583780560525	0.4810606060606061	0.48173913043478256	0.5148148148148148	0.5084656084656084	
bm		roo	141	NL	0.51125	0.5477272727272727	0.5523809523809524	0.5178578235182009	0.5162312783002438	0.5207290294246816	0.5152777777777777	
lsa		roo	141	NL	0.45055555555555554	0.47596371882086164	0.4628275233538391	0.4553221288515406	0.44423076923076926	0.4761040706605222	0.4761040706605222	
jsm		roo	141	NL	0.5475132275132275	0.5103313049357674	0.48330568356374803	0.4720300751879699	0.4577272727272727	0.4843809523809523	0.4820105820105819	
vsm		roo	142	PE	0.178030303030303	0.1781609195402299	0.17843137254901958	0.17790262172284643	0.17790262172284643	0.17777777777777776	0.17965367965367965	
bm		roo	142	PE	0.0992063492063492	0.09999999999999999	0.10084033613445378	0.09999999999999999	0.09999999999999999	0.09999999999999999	0.10084033613445378	
lsa		roo	142	PE	0.1718213058419244	0.171875	0.17184801381692572	0.17184801381692572	0.17184801381692572	0.17184801381692572	0.1721014492753623	
